Name,Game,URL
Boss,Sonic The Hedgehog (16-bit),PCU5PTMy8Q0
Final Zone (vs. Egg Crusher),Sonic The Hedgehog (16-bit),TBnxEXsQnpI
Boss,Sonic The Hedgehog (8-bit),DUOOQexkcfE
Boss,Sonic The Hedgehog 2 (Master System),eL-pud7pESE
Boss,Sonic The Hedgehog 2 (Game Gear),kXp6Mqmj89s
Boss,Sonic The Hedgehog 2 (Mega Drive),S3JZKyaucK4
Death Egg Robot,Sonic The Hedgehog 2 (Mega Drive),GOTSkDwHsic
Boss!!,Sonic CD (JP/PAL),hBaKMU36ubA
Stardust Speedway B Mix (vs. Metal Sonic),Sonic CD (JP/PAL),jGp-BYU23wo
Final Fever,Sonic CD (JP/PAL),EAgrD97g360
Boss!!,Sonic CD (US),j9nrj6DntCg
Stardust Speedway B Mix (vs. Metal Sonic),Sonic CD (US),XUW8QXUQGRA
Final Fever,Sonic CD (US),77MDHoSuHNw
Boss,Sonic The Hedgehog Chaos,f8xWYJcmAn0
Final Boss (vs. Laser Walker),Sonic The Hedgehog Chaos,zft6H_L6Df4
Boss,Sonic The Hedgehog Spinball,pnSIwvvxjHE
Boss,SegaSonic Comso Fighter,pCVytgyVtBY
Space Station,SegaSonic Comso Fighter,c-Yg6imXMB8
Act 1 Boss,Sonic The Hedgehog 3,2hZLABxySwE
Act 2 Boss,Sonic The Hedgehog 3 & Knuckles,-8uBO8dpdu4
Act 1 Boss,Sonic & Knuckles,cISHdljjCuA
Big Arms / Great Eggman Robo,Sonic The Hedgehog 3 & Knuckles,bc-lK-psNy4
Doomsday Zone,Sonic The Hedgehog 3 & Knuckles,E0kssRYUFBI
Boss,Sonic The Hedgehog Triple Trouble,cUGF7A-0f90
Metal Sonic,Sonic The Hedgehog Triple Trouble,ovWdz--32JA
Atomic Destroyer,Sonic The Hedgehog Triple Trouble,IoLD6RH8OpQ
Pendulum,Knuckles' Chaotix,KrqGoRbbS_o
Child's Song,Knuckles' Chaotix,69bUl586Dow
Trial and Error,Knuckles' Chaotix,EhbWUIBL6pM
Silver Screen,Knuckles' Chaotix,Ju0WQleH1-o
Crystal Nightmare,Knuckles' Chaotix,lELaAZjJ5Uc
Soda Pop,Knuckles' Chaotix,HVRR2C9Dw_k
Surprise! (vs. Metal Sonic),Knuckles' Chaotix,8R0Zsw3j7tk
Oriental Legend (vs. Metal Sonic Kai),Knuckles' Chaotix,QEc-tP4VbEQ
Boss Fockewulf,Tails' Skypatrol,uDN_i86wq18
Boss Bearenger,Tails' Skypatrol,hWLMWFRq2LY
Boss Carrotia,Tails' Skypatrol,BwUJ-HxpTfc
Wendy Witchcart,Tails' Skypatrol,ca57fwTr5SY
Boss,Tails' Adventure,Ln3xsBQRSLo
Final Boss (vs. Great Battle Kukku),Tails' Adventure,kq1XM-oxR8Y
Boss,Sonic Labyrinth,72Lcxy6aZfQ
Final Boss (vs. Smiley Bomb),Sonic Labyrinth,HWh8lSewIx0
Never Let it Go (Death Egg's Eye),Sonic the Fighters,ZhjzUqHSKQ0
Hurry Up (Death Egg's Hangar),Sonic the Fighters,ruFTJu-fps4
Boss A,Sonic 3D Blast (Mega Drive),Ig4QCgBNlw4
Boss B,Sonic 3D Blast (Mega Drive),wPFrg3X1mrE
The Final Fight,Sonic 3D Blast (Mega Drive),h4ioYorKqYo
Boss,Sonic 3D Blast (Saturn),8pYMWE88Jro
The Final Weapon,Sonic 3D Blast (Saturn),2nAgLOygvLE
Boss,Sonic Blast,yFuujJF5liM
Final Boss,Sonic Blast,_G77HBFE0v8
vs. Chaos,Sonic Adventure,G0mTiNxceKE
vs. Chaos 6,Sonic Adventure,hCfUAcHodc4
Egg Hornet,Sonic Adventure,fZaCuLTOGcM
Militant Missionary,Sonic Adventure,RTEywlcSh3g
Zero the Chase-Master,Sonic Adventure,4WoaaTWL_SE
Heartless Colleague,Sonic Adventure,TwLChbcP6VI
Crazy Robo (vs. E-101 Beta),Sonic Adventure,gK7dszd_j1c
Open Your Heart,Sonic Adventure,4fo__Sh0nIg
Perfect Chaos Revival!,Sonic Adventure,LM4B1B5eM8I
Boss,Sonic Pocket Adventure,nCNwT3A6QLQ
vs. Knuckles,Sonic Pocket Adventure,6H9-DcZjgDk
vs. Mecha Sonic,Sonic Pocket Adventure,DGGH9SHEgkk
Gigantic Angel Zone Boss,Sonic Pocket Adventure,_RKVl7jggpc
Last Utopia,Sonic Pocket Adventure,RYgu0eMv9tU
Chaotic Space,Sonic Pocket Adventure,Kmev90muL78
Heart of Heat,Sonic Shuffle,2RDl9GhRi4Y
GUN Mobile,Sonic Adventure 2,F-DGqMXCtCU
Masters of the Desert B,Sonic Adventure 2,sWY5JYq-Wos
Masters of the Desert,Sonic Adventure 2,fJFaQAnS2gc
Suitable Opponent,Sonic Adventure 2,NWjozTNgBnU
"Shut Up, Faker!",Sonic Adventure 2,tNufJ8m5KOw
For True Story,Sonic Adventure 2,_SUlc1ndFbQ
Supporting Me,Sonic Adventure 2,VXeIRsqqFbA
Live And Learn,Sonic Adventure 2,z1BRZg0GG0A
Boss,Sonic Advance,87NMm9IOtzg
Mecha Knuckles,Sonic Advance,FdNim1fSJ7E
Boss Intro,Sonic Advance,VAIgeZ0hgNk
Egg Snake,Sonic Advance,N-jqWqjuzY4
Egg Mobile H,Sonic Advance,aHJcMjgg9X8
Egg Mobile D,Sonic Advance,oM7mnAMDJWo
EGG X,Sonic Advance,5WCL-AouN2M
The Moon Zone,Sonic Advance,atOeuCoAa44
Boss,Sonic Advance 2,0Z_seU8elvk
Boss (Pinch),Sonic Advance 2,3BYjhnkSbkU
Egg Saucer (vs. Knuckles),Sonic Advance 2,RU8gG-pw3SY
Egg Frog,Sonic Advance 2,Qle2DL-B39M
Super Eggrobo Z,Sonic Advance 2,fiRSItFbt9w
True Area 53,Sonic Advance 2,w5idOEFDIAI
Battle on the Death Egg (vs. Emerl),Sonic Battle,56zT5Tlnh0g
Egg Hawk,Sonic Heroes,XfJ4jC6p_vE
VS Team Battle,Sonic Heroes,N6pWNjjThB0
Robot Carnival/Storm,Sonic Heroes,tKcMcHBR1O0
Egg Albatross,Sonic Heroes,C5TC557Nu2o
Egg Emperor,Sonic Heroes,NaieqbRA8gE
Metal Madness,Sonic Heroes,0tbH6EoE-ps
What I'm Made Of,Sonic Heroes,ScvxT0RItYE
Eggman Attacks,Sonic Advance 3,5ZlCfWNcY8I
Egg Gravity,Sonic Advance 3,558RePEiyc4
Hyper Eggrobo,Sonic Advance 3,3SG9900JI1s
Nonaggression,Sonic Advance 3,CKwOqIGvs2g
Black Bull,Shadow the Hedgehog,LX_0lUzCDZ8
Egg Breaker,Shadow the Hedgehog,1xUqDVOABOY
Heavy Dog,Shadow the Hedgehog,nxyNUJYH5fs
Blue Falcon,Shadow the Hedgehog,Iq1is_2VjRk
Sonic & Diablon,Shadow the Hedgehog,42wI8oVg38E
Egg Dealer,Shadow the Hedgehog,4rOMwIQnVxk
Black Doom,Shadow the Hedgehog,QwUxbC5POs8
I Am,Shadow the Hedgehog,4dnKgO2f74A
Metal Scratchin',Sonic Rush,oo9pylkO42w
Vela-Nova,Sonic Rush,-7WQn-SXYZ4
Bomber Barbera,Sonic Rush,L4KIxqTYGGI
Wrapped in Black,Sonic Rush,MlCK5RWO54E
Egg Cerberus / Genesis,Sonic The Hedgehog (2006),FpZOr-lzewA
Egg Wyvern,Sonic The Hedgehog (2006),3hMLLiec2eU
Vs. Character,Sonic The Hedgehog (2006),rxtUlcBOFRc
Mephiles,Sonic The Hedgehog (2006),5cBaV5fTt7w
Mephiles Phase 2,Sonic The Hedgehog (2006),M7Cp0vnU_sM
Iblis,Sonic The Hedgehog (2006),FNKRv4hDVr4
Iblis Phase 3,Sonic The Hedgehog (2006),oa2ol2hhwys
Solaris Phase 1,Sonic The Hedgehog (2006),Voz7AJnpBXo
Solaris Phase 2 (His World Instrumental),Sonic The Hedgehog (2006),qAx3hTZeyBw
Boss,Sonic Rivals,1EuqNCxu7TU
Egg Destroyer,Sonic Rivals,CHa2kXAkp_0
Poison Spear,Sonic and the Secret Rings,_erm0NsNS74
Blue on the Run,Sonic and the Secret Rings,009nFi292xA
How it Started,Sonic and the Secret Rings,n_-u5zKKLpQ
It Has Come to This,Sonic and the Secret Rings,PgWZc73XnpE
Seven Rings in Hand,Sonic and the Secret Rings,UxbyOQgTsVc
Boss,Sonic Rush Adventure,mdf2oW3gHq4
Whisker & Johnny,Sonic Rush Adventure,8uHxIxijw5M
Big Swell,Sonic Rush Adventure,3Ck1lZRUu8U
Deep Core,Sonic Rush Adventure,9CsRLwnOSY4
Deep Core (Allegro),Sonic Rush Adventure,Wj_C4pjxj1g
Boss,Sonic Rivals 2,H0nlgyD117M
Ifrit,Sonic Rivals 2,yzCnX4ncSj4
Mini-Boss,Sonic Chronicles: The Dark Brotherhood,Z3bEB15Vw7M
Boss,Sonic Chronicles: The Dark Brotherhood,DrWFq1aHDWA
Imperator Ix (Mini Boss),Sonic Chronicles: The Dark Brotherhood,5vBQhLdKqtk
Imperator Ix (Final Boss),Sonic Chronicles: The Dark Brotherhood,hpLb6Hn1duI
Boss (Day),Sonic Unleashed,cv_xOEJ9u_8
Boss (Night),Sonic Unleashed,zwQhh5u9ZjY
Titan & Big Mother,Sonic Unleashed,UgemNC2xJiM
Vs. Egg Dragoon,Sonic Unleashed,4WwTscoGypM
Vs. Dark Gaia,Sonic Unleashed,4LLyD8nj95A
Super Sonic v. Perfect Dark Gaia,Sonic Unleashed,SWMcIB7XIi0
Fight the Knight (Instrumental),Sonic and the Black Knight,wku1NyKollI
Through the Fire,Sonic and the Black Knight,SZZhCV8FVYM
Dragon Slayer,Sonic and the Black Knight,jZFQ1TaYmpw
Fight the Knight,Sonic and the Black Knight,RdaFmJExRFM
With Me,Sonic and the Black Knight,L9I9qsKJL5s
Boss,Sonic the Hedgehog 4: Episode I,8eW6YnKz8jg
Boss,Sonic the Hedgehog 4: Episode II,7NF_UJUJBnc
E.G.G. Station,Sonic the Hedgehog 4: Episode I,_jhOfRIkIgk
Vs. Rotatatron & Refreshinator,Sonic Colors,y2RQ-B_vLTc
Vs. Captain/Admiral Jelly,Sonic Colors,sWn2YukU-Ug
Vs. Orcan & Skullian,Sonic Colors,HXuSdIlJrFc
Nega-Wisp Armor (Phase 1),Sonic Colors,TaT9tYTK0rs
Nega-Wisp Armor (Phase 2),Sonic Colors,Vup0FSZH4W8
Vs. Metal Sonic (JP mix),Sonic Generations (Console/PC),t9A6788MNjk
Vs. Metal Sonic (US mix),Sonic Generations (Console/PC),NY3j1KDLS3o
Vs. Shadow the Hedgehog,Sonic Generations (Console/PC),9lEvPwllyos
Vs. Silver the Hedgehog,Sonic Generations (Console/PC),i8b0zLn7VgM
Vs. Death Egg Robot (Phase 1),Sonic Generations (Console/PC),UKY8eHTDCxY
Vs. Death Egg Robot (Phase 2),Sonic Generations (Console/PC),i9d97lzxmds
Vs. Death Egg Robot (Phase 3),Sonic Generations (Console/PC),XwTBSEmG2wE
Vs. Perfect Chaos (Open Your Heart),Sonic Generations (Console/PC),1gb_42k30YE
Vs. Perfect Chaos (Revival),Sonic Generations (Console/PC),lPG5r6F-kYw
Vs. Egg Dragoon,Sonic Generations (Console/PC),8awNQl1vybs
Vs. Time Eater (Modern),Sonic Generations (Console/PC),CkETw9ZKOoM
Vs. Time Eater (Classic),Sonic Generations (Console/PC),pp10aYVgSfc
Boss: Big Arm,Sonic Generations (3DS),MVQjrIcwyEg
Boss: Biolizard,Sonic Generations (3DS),NWk6YMYBMJ4
Boss: Egg Emperor,Sonic Generations (3DS),vo6vtAvcu1M
Boss: Metal Sonic,Sonic the Hedgehog 4: Episode II,KfxgZQ2ftig
Death Egg Mk. II,Sonic the Hedgehog 4: Episode II,OatHU0_SQa8
A Duel with Metal Sonic,Sonic the Hedgehog 4: Episode II,P3Ule9I4AY0
Egg Heart,Sonic the Hedgehog 4: Episode II,AmyuqNhmFB8
Deadly Six Theme,Sonic Lost World,RQ1PUgNfkxw
Deadly Six Theme (Orchestral Ver.),Sonic Lost World,cIxv9cdGSNY
Battle with Zavok,Sonic Lost World,rTj-iQ-eAcQ
Battle with Zavok (Orchestral Ver.),Sonic Lost World,bfj5OCw4nfQ
Boss Rushes,Sonic Lost World,Wb2POFpO28c
Boss Rushes (Guitar),Sonic Lost World,BTuWmMaXAmY
Dr. Eggman Showdown,Sonic Lost World,r11BM3PdGiw
NiGHTMARE ZONE Boss,Sonic Lost World,PVIoxrscXZc
Boss: Shadow,Sonic Boom: Rise of Lyric,RiaXQCTIO1Q
Boss: Driller Worm,Sonic Boom: Rise of Lyric,IhMv2-AAm_o
Boss: Crab Excavator,Sonic Boom: Rise of Lyric,KzfSHfiOqcI
Boss: Metal Sonic,Sonic Boom: Rise of Lyric,uyRPOScL-8g
Boss: Eggman,Sonic Boom: Rise of Lyric,VceTRAZYdj4
Final Boss: Lyric the Last Ancient,Sonic Boom: Rise of Lyric,PDd2Glmt_N0
Theory of Attack,Sonic Runners,u-qexQu_pNM
Danger on the Dance Floor,Sonic Mania,qroCVpNAAaQ
Ruby Delusions,Sonic Mania,OFq9-4-0O0s
Havoc Prognosis,Sonic Mania,wbQfKoOPaHQ
Eggman Mean Bean,Sonic Mania,Fu-ZxTHKeDg
Vs. Metal Sonic,Sonic Mania,6WVFIUxmCs8
Ruby Illusions,Sonic Mania,9Sn-tbAH5XY
Egg Reverie,Sonic Mania,zZG5Uf6JTDE
Battle with Death Queen,Sonic Forces,h-ejsrl086Q
Battle with Infinite (First Bout),Sonic Forces,c2B46DDpL34
Battle with Eggman?,Sonic Forces,HVGJO2Vnn3g
Battle with Infinite (Second Bout),Sonic Forces,pcx2oeiaOI0
Battle with Metal Sonic,Sonic Forces,DNwYhHi69Us
Battle with Infinite (Showdown),Sonic Forces,jnDiD1GaTeU
Battle with Mega Death Egg Robot,Sonic Forces,aDwLdRvqhKU
Vs. Rotatatron & Refreshinator,Sonic Colors Ultimate,IWzW_ZO9aJA
Vs. Captain/Admiral Jelly,Sonic Colors Ultimate,8fXBkmxLokg
Vs. Orcan & Skullian,Sonic Colors Ultimate,SNjuxcxDYyc
Rival Rush,Sonic Colors Ultimate,Ya6gtE5NxLc
Nega-Wisp Armor (Phase 1),Sonic Colors Ultimate,l7-xzqrG0g8
Nega-Wisp Armor (Phase 2),Sonic Colors Ultimate,Q9l1ktsHAfM
Guardians: First Encounters,Sonic Frontiers,vZteQG-vuQU
Guardian: ASURA,Sonic Frontiers,-LgNjCvQHxc
Guardian: SQUID,Sonic Frontiers,AVxpfu848dE
Guardian: SHARK,Sonic Frontiers,yBSB3V1i6Qw
Guardian: STRIDER,Sonic Frontiers,a5bOhPS4K5k
Guardian: SUMO,Sonic Frontiers,8CHh9BJiwQ4
Guardian: TANK,Sonic Frontiers,pNTaqw4lC5I
Guardian: TOWER,Sonic Frontiers,RFWVsxTjCco
Guardian: FORTRESS,Sonic Frontiers,bMnYWLdjRF4
Guardian: NINJA,Sonic Frontiers,E4xMZOIzD-c
Guardian: SPIDER,Sonic Frontiers,_ZsyMWFUkPU
Guardian: CATERPILLAR,Sonic Frontiers,b7dDqaVYgNI
Guardian: GHOST,Sonic Frontiers,UGY8rZ9a8QY
Titan: GIGANTO,Sonic Frontiers,lBr9QJ00jMQ
Titan: WYVERN,Sonic Frontiers,39ZtdgABy_8
Titan: KNIGHT,Sonic Frontiers,Jn9j3UWHnB4
Undefeatable,Sonic Frontiers,g9uvNUfLAwk
Break Through it All,Sonic Frontiers,74LuHHYkuIs
Find Your Flame,Sonic Frontiers,CPqwcYD61lc
I'm Here,Sonic Frontiers,S-Qr3fHJb0Y
I'm With You,Sonic Frontiers,veCfjt4MYxU
Guardian: NINJA (Alt.),Sonic Frontiers: Final Horizons,3hhjD9wNfnc
Guardian: CATERPILLAR (Alt.),Sonic Frontiers: Final Horizons,mGN1d8P6qp8
Guardian: TOWER (Alt.),Sonic Frontiers: Final Horizons,IkiiMm1Td6M
Guardian: SPIDER (Alt.),Sonic Frontiers: Final Horizons,BJ3vjJaimTU
Guardian: GHOST (Alt.),Sonic Frontiers: Final Horizons,xaBY8MdXGXE
Guardian: TANK (Alt.),Sonic Frontiers: Final Horizons,8DFC6kj3-rY
I'm Here (Orchestral),Sonic Frontiers: Final Horizons,36lMtH5aj-8
I'm Here (Revisited),Sonic Frontiers: Final Horizons,hooKqbWHJnM
Boss Battle: Biolizard,Shadow Generations,dNQf5pM5Z7g
Boss Battle: Metal Overlord,Shadow Generations,gENYxuAupPc
Boss Battle: Mephiles Pt-I,Shadow Generations,K3Pxxt405zg
Boss Battle: Mephiles Pt-II,Shadow Generations,UNGbD-Qx9Ns
Boss Battle: Devil Doom,Shadow Generations,47kEtfeWFnM
Boss Battle: Neo Devil Doom,Shadow Generations,xgOgFwwDh1U
Mini-Boss,Sonic Superstars,tSaxdgkxUuc
Boss 1,Sonic Superstars,vJ7fZbzNqtg
Boss: Fang,Sonic Superstars,1FQW55garVc
Boss 2,Sonic Superstars,p0Q1Spt2uDs
Boss: Prototype,Sonic Superstars,E_K_E8mBwTc
Frozen Base Zone: Boss,Sonic Superstars,oJPSDYy6ay4
Egg Fortress Zone: Boss,Sonic Superstars,Yjfr3aLixXs
Egg Fortress Zone: Boss ~ Fang,Sonic Superstars,-gKRb-SH4cg
Final Boss,Sonic Superstars,rzzZUvqbjTI